area_id,population,location_urban,location_rural,hh_size1,hh_size2,hh_size3,hh_size4,m_0_to_29,f_0_to_29,m_30_to_59,f_30_to_59,m_gt_60,f_gt_60,edu_non,edu_low,edu_middle,edu_high
d32,267,0,267,61,166,28,51,25,30,168,174,73,58,68,243,171,6
d33,267,0,267,63,175,20,39,24,24,171,141,88,64,51,269,159,8
d34,271,0,271,57,178,23,53,18,30,170,172,75,70,79,253,155,11
d35,276,0,276,58,191,19,33,18,27,155,177,78,75,61,259,167,16
d36,281,0,281,64,172,32,57,40,38,170,183,66,64,52,274,174,15
d37,271,271,0,57,186,21,30,25,19,178,181,69,50,34,205,232,23
d38,273,0,273,73,171,18,48,27,25,163,162,74,66,59,273,144,11
d39,264,0,264,66,160,20,80,34,28,151,158,81,74,49,264,166,11
d40,245,0,245,65,149,21,42,27,18,155,144,51,73,44,228,161,10
d41,267,0,267,61,169,22,69,30,31,160,168,68,77,59,260,161,13
d42,283,0,283,76,174,17,68,46,29,141,165,75,87,60,255,165,17
d43,262,0,262,52,178,22,41,14,26,164,151,59,101,65,265,151,10
d44,290,0,290,72,182,21,64,27,29,197,171,80,59,55,277,181,11
d45,299,299,0,86,190,12,45,27,28,194,163,63,72,43,191,258,23
d46,291,0,291,77,182,19,55,30,28,163,161,97,74,59,293,153,13
d47,301,301,0,84,194,14,39,38,26,171,198,60,60,47,207,233,30
d48,275,0,275,60,180,20,67,31,29,166,174,70,77,61,263,167,20
d49,269,269,0,66,181,12,44,37,26,151,164,63,67,36,188,235,19
d50,281,0,281,66,178,23,60,39,26,151,179,79,77,54,285,165,10
d51,296,0,296,71,189,23,59,27,32,183,172,78,85,60,280,184,12
d52,248,0,248,43,165,23,79,27,33,159,150,80,72,67,250,153,11
d53,288,0,288,69,183,22,63,33,29,153,168,79,102,61,289,167,10
d54,250,0,250,59,150,27,62,27,29,147,157,70,72,55,237,174,4
d55,282,0,282,80,171,27,18,17,30,144,178,78,74,58,271,155,13
d56,274,0,274,68,173,20,57,21,33,140,170,90,77,53,288,150,9
d57,278,0,278,54,188,18,82,35,30,162,173,89,77,58,306,152,11
d58,283,0,283,74,176,20,56,32,27,156,186,71,70,64,279,165,7
d59,279,0,279,64,176,21,80,33,31,183,163,73,76,59,299,145,12
d60,263,263,0,80,160,12,46,28,26,156,159,59,54,28,181,231,21
d61,259,0,259,61,161,23,65,25,34,170,154,68,66,61,260,151,10
d62,275,0,275,71,178,17,40,23,20,189,149,71,66,60,270,149,8
d63,287,287,0,77,181,22,30,33,20,163,171,78,70,36,208,236,25
d64,275,275,0,67,182,17,44,30,40,163,164,67,62,49,185,222,32
d65,290,0,290,86,178,20,25,29,19,138,171,79,91,68,263,162,11
d66,266,0,266,63,163,24,72,29,36,166,164,68,70,62,261,160,12
d67,261,0,261,59,172,17,54,33,19,142,157,85,72,68,236,164,7
d68,260,260,0,83,136,21,93,65,78,153,168,25,22,33,116,275,56
d69,288,0,288,77,179,21,52,34,26,143,192,70,85,55,269,182,8
d70,277,277,0,83,143,33,82,87,95,166,150,36,16,34,105,303,57
d71,286,286,0,64,205,10,31,23,20,173,176,62,81,43,196,249,28
d72,295,0,295,71,195,18,51,36,20,158,171,86,95,67,297,160,12
d73,259,0,259,68,159,14,77,26,32,158,145,73,71,49,248,163,9
d74,273,0,273,58,182,23,44,27,23,172,161,66,86,55,270,172,7
d75,259,0,259,54,171,17,73,18,12,168,179,68,75,58,272,159,14
d76,272,272,0,68,172,15,75,41,36,162,173,61,59,30,184,240,28
d77,264,0,264,56,177,18,59,26,34,157,154,74,78,62,258,153,11
d78,258,0,258,57,169,19,59,15,23,164,142,91,76,72,245,153,12
d79,277,277,0,78,171,17,46,34,32,166,151,72,62,32,189,238,25
d80,281,0,281,63,186,23,41,29,31,174,158,65,88,58,276,164,19
d81,274,0,274,74,170,20,47,33,15,151,152,79,91,51,262,153,22
d82,304,0,304,77,204,14,42,28,31,178,169,81,82,73,283,165,16
d83,293,0,293,69,187,24,56,27,30,189,154,82,89,70,284,170,10
d84,285,285,0,79,191,10,21,34,18,187,148,63,62,34,203,224,27
d85,262,0,262,64,168,16,64,22,29,164,141,62,94,56,257,160,8
d86,278,278,0,90,131,32,120,107,100,169,146,20,26,33,112,302,57
d87,272,0,272,50,185,24,58,30,29,171,159,74,87,56,259,187,12
d88,282,0,282,76,166,27,56,34,37,159,173,71,71,61,262,158,11
d89,284,284,0,92,136,35,97,87,106,157,162,28,26,35,114,322,47
d90,269,0,269,64,170,22,59,21,32,155,161,68,92,63,268,146,19
d91,292,0,292,72,184,25,48,36,34,152,173,92,76,55,289,164,10
d92,266,266,0,60,189,11,30,21,26,171,157,66,60,42,188,222,29
d93,264,0,264,63,167,21,59,25,29,170,155,67,73,52,252,163,14
d94,282,282,0,95,137,25,105,91,93,165,153,20,27,37,97,308,50
d95,284,0,284,78,175,19,56,34,24,172,167,74,70,52,298,143,12
d96,259,0,259,56,176,15,53,28,22,171,141,79,65,72,238,168,4
d97,244,0,244,61,152,20,50,24,22,147,162,56,64,60,247,131,5
d98,277,0,277,68,171,26,52,26,28,169,165,77,75,53,278,156,15
d99,266,0,266,65,164,22,65,25,30,165,150,76,78,65,261,157,8
d100,285,0,285,73,185,12,68,18,28,164,177,71,89,65,268,178,13
d101,263,0,263,67,161,26,37,27,28,155,150,82,62,54,250,157,16
d102,285,0,285,60,197,19,39,27,19,162,167,85,90,60,279,172,13
d103,302,302,0,96,188,10,38,27,22,159,191,73,68,43,192,253,28
d104,274,0,274,59,186,23,25,24,26,166,148,64,97,63,253,170,11
d105,275,275,0,69,178,22,26,29,34,176,158,60,60,42,179,247,13
d106,261,0,261,61,159,27,58,20,31,155,167,85,60,57,249,161,12
d107,294,294,0,75,191,18,45,43,27,155,190,70,71,45,210,232,27
d108,287,287,0,94,144,27,105,94,93,165,151,38,27,49,132,291,46
d109,266,0,266,67,170,12,73,17,28,155,164,75,77,47,266,171,7
d110,265,0,265,58,168,27,56,34,32,152,164,89,60,49,282,153,8
d111,280,0,280,70,180,18,48,27,19,165,154,88,79,48,281,167,6
d112,283,0,283,65,180,27,46,28,33,159,187,75,70,50,287,170,6
d113,257,0,257,61,161,22,56,24,23,163,158,70,67,53,256,161,3
d114,263,0,263,59,164,29,52,23,22,156,161,75,89,50,283,147,14
d115,269,269,0,80,133,33,111,100,92,150,160,28,26,24,117,312,43
d116,308,308,0,97,184,20,31,29,23,195,168,67,74,36,216,249,25
d117,279,0,279,60,172,29,78,46,46,172,160,66,79,62,276,153,14
d118,284,0,284,65,187,16,70,29,26,166,184,67,85,58,274,178,10
d119,266,0,266,52,180,26,37,32,24,170,152,96,53,48,271,163,6
d120,287,0,287,55,192,32,32,28,28,185,165,75,86,68,255,191,14
d121,279,279,0,95,144,26,61,82,84,159,149,22,26,37,131,283,37
d122,279,0,279,62,176,20,90,44,41,166,175,66,72,72,253,178,9
d123,266,0,266,61,167,21,70,31,28,157,146,85,81,61,271,145,10
d124,273,0,273,63,172,22,71,28,26,167,169,74,80,51,288,157,11
d125,266,0,266,61,171,21,56,22,29,146,165,77,83,54,249,177,14
d126,269,0,269,68,161,24,75,29,33,165,147,77,86,59,254,170,13
d127,266,0,266,55,181,21,41,29,21,169,157,78,67,60,253,166,13
d128,303,0,303,82,180,26,68,37,37,170,182,80,82,79,281,167,8
d129,279,0,279,67,186,14,53,22,35,168,147,87,75,54,288,154,8
d130,282,0,282,66,179,28,40,34,25,176,158,79,76,50,282,165,11
d131,271,0,271,68,173,15,67,27,22,162,169,70,76,57,274,152,8
d132,275,0,275,53,200,14,37,20,24,167,146,76,99,57,275,162,11
d133,284,0,284,70,182,17,66,30,23,175,169,74,80,54,295,160,11
d134,280,0,280,71,179,18,52,26,25,169,167,80,68,60,270,161,11
d135,289,0,289,75,170,28,72,35,31,143,185,79,98,51,291,172,16
d136,281,281,0,84,141,28,126,96,97,163,169,23,28,36,119,314,47
d137,274,0,274,74,171,17,56,24,27,145,175,80,72,55,275,147,14
d138,261,0,261,58,166,24,58,32,27,180,147,63,71,41,248,185,11
d139,259,0,259,54,166,26,58,37,36,163,161,62,63,57,266,141,12
d140,286,0,286,68,179,30,37,39,30,170,156,77,81,65,290,144,14
d141,261,0,261,53,165,18,115,44,29,165,161,82,71,49,267,174,9
d142,279,279,0,96,135,23,112,87,91,158,163,25,23,30,132,286,57
d143,290,0,290,80,176,21,56,37,27,163,162,74,88,63,295,146,8
d144,295,295,0,82,192,14,30,32,23,175,175,69,64,45,191,246,25
d145,297,297,0,74,196,19,34,31,41,189,173,67,56,40,193,261,21
d146,268,0,268,53,195,10,45,17,17,156,156,77,95,53,267,170,8
d147,267,0,267,56,171,27,55,25,33,169,164,77,66,56,261,162,12
d148,277,277,0,81,147,27,96,94,92,159,157,27,23,27,122,298,56
d149,266,0,266,60,176,18,54,31,29,155,150,72,83,63,253,147,15
d150,268,0,268,61,176,20,47,34,24,149,170,78,65,62,258,156,9
d151,298,298,0,82,188,15,57,36,33,160,189,80,62,49,169,274,23
d152,271,0,271,57,178,24,53,39,27,155,179,76,62,55,269,161,11
d153,273,273,0,84,136,28,108,105,74,162,163,28,16,32,112,296,53
d154,270,0,270,76,158,26,47,32,28,145,154,83,75,45,256,164,10
d155,279,0,279,64,178,24,60,44,28,150,150,83,97,60,279,159,9
d156,270,0,270,59,177,23,47,22,29,159,167,87,65,53,279,154,15
d157,259,259,0,61,169,22,31,41,21,156,147,61,70,31,172,232,23
d158,277,0,277,82,167,17,48,25,23,162,161,78,66,52,259,162,13
d159,285,0,285,67,187,20,49,29,27,162,184,79,69,59,276,169,8
d160,287,0,287,71,180,22,64,34,20,181,156,90,80,58,266,191,11
d161,272,0,272,56,183,23,47,26,23,158,162,80,89,72,268,157,8
d162,263,0,263,54,181,14,63,24,28,180,135,71,83,55,284,149,6
d163,282,0,282,74,182,13,55,26,25,157,170,69,85,61,275,154,14
d164,266,0,266,58,178,18,53,19,22,154,144,79,103,64,267,157,9
d165,278,0,278,73,172,19,64,33,30,145,165,74,91,50,278,165,12
d166,289,0,289,60,196,20,56,28,34,162,185,78,81,58,283,179,8
d167,292,292,0,100,153,20,81,87,85,161,177,17,20,39,124,305,43
d168,293,0,293,71,189,22,47,20,30,171,188,86,67,62,284,165,16
d169,260,0,260,70,172,13,21,14,15,148,157,60,80,41,245,162,8
d170,282,0,282,68,178,27,38,28,32,157,170,81,75,58,262,169,17
d171,283,0,283,78,166,22,72,30,29,164,171,80,74,57,286,159,8
d172,278,278,0,70,180,22,26,31,27,170,175,51,68,42,174,246,21
d173,288,0,288,74,179,22,60,29,31,173,174,72,79,70,268,168,11
d174,249,0,249,48,176,19,27,22,23,159,143,69,68,56,261,130,11
d175,263,0,263,59,183,14,33,24,13,159,166,65,73,52,269,152,7
d176,263,263,0,79,144,14,113,60,77,178,159,23,25,31,127,282,50
d177,272,0,272,72,167,20,61,27,40,168,135,81,76,52,267,164,4
d178,285,0,285,71,177,24,55,27,40,168,151,83,83,58,280,169,10
d179,275,0,275,61,188,12,58,29,18,170,163,71,80,50,277,164,7
d180,278,278,0,70,183,15,45,29,25,153,181,64,74,37,199,247,13
d181,268,268,0,82,152,14,91,80,80,147,156,25,31,36,109,293,47
d182,257,0,257,58,165,24,49,26,27,157,146,73,80,66,240,156,10
d183,261,0,261,58,173,16,65,30,23,178,153,71,62,54,266,152,14
d184,269,0,269,41,191,23,59,32,25,179,158,88,69,67,275,162,13
d185,266,266,0,70,181,12,14,24,14,159,143,67,75,36,183,221,19
d186,259,0,259,71,163,17,34,24,21,164,148,59,66,50,241,153,14
d187,294,0,294,74,192,16,55,20,32,172,166,87,84,77,284,160,9
d188,259,259,0,87,132,16,104,79,95,132,159,21,17,29,106,280,41
d189,277,277,0,83,174,13,31,23,28,164,154,63,69,29,188,230,28
d190,266,0,266,63,181,17,24,19,22,152,152,78,77,53,262,157,10
d191,290,0,290,66,181,28,66,35,34,168,182,81,78,52,306,161,17
d192,277,277,0,72,186,10,38,30,22,191,157,56,56,36,187,233,23
d193,267,0,267,47,179,23,76,32,27,165,174,75,77,49,251,201,10
d194,261,261,0,88,127,24,97,95,62,172,136,19,27,46,105,280,44
d195,261,0,261,54,169,27,45,30,32,159,153,77,67,54,269,140,13
d196,281,281,0,80,181,11,40,26,21,174,173,61,60,45,193,237,21
d197,284,0,284,69,191,10,59,16,21,184,158,83,78,60,269,178,12
d198,268,0,268,69,164,20,71,15,28,165,158,88,74,47,272,174,10
d199,265,0,265,59,170,21,68,34,30,153,159,86,68,52,273,151,10
d200,273,0,273,57,176,19,90,36,32,168,169,75,76,55,274,169,11
d201,251,251,0,76,136,18,94,90,85,140,132,32,17,40,94,261,54
d202,276,0,276,56,186,20,58,33,37,168,177,70,61,67,277,150,10
d203,245,245,0,75,127,21,93,70,88,131,155,22,19,35,97,271,55
d204,293,0,293,70,184,20,80,38,31,185,164,83,77,80,272,167,13
d205,279,0,279,62,181,21,66,23,27,176,168,85,74,61,288,163,11
d206,290,290,0,71,195,16,33,23,34,168,178,81,58,39,211,240,23
d207,272,0,272,54,182,24,53,27,35,146,179,81,75,54,286,158,7
d208,279,0,279,63,179,20,74,40,29,168,176,74,68,52,294,154,12
d209,252,0,252,45,175,23,38,37,28,130,178,58,71,46,283,128,8
d210,289,0,289,72,191,17,39,25,26,166,170,70,87,64,281,165,9
d211,295,295,0,99,157,19,86,73,102,165,166,28,22,42,122,295,59
d212,285,285,0,72,186,16,48,23,26,186,148,98,59,31,198,244,35
d213,280,0,280,67,175,22,71,29,36,159,160,84,86,56,293,155,7
d214,292,0,292,83,178,17,64,32,25,175,171,79,72,65,271,164,18
d215,280,0,280,71,175,18,70,26,41,176,152,67,83,53,274,164,11
