area_id,population,location_urban,location_rural,hh_size1,hh_size2,hh_size3,hh_size4,m_0_to_30,f_0_to_30,m_30_to_60,f_30_to_60,m_gt_60,f_gt_60,edu_non,edu_low,edu_middle,edu_high
d136,268,0,268,63,194,6,21,9,15,140,152,86,88,42,264,178,6
d137,249,249,0,100,119,11,79,75,67,140,127,24,17,26,85,281,58
d138,313,313,0,125,171,8,42,80,64,172,166,23,28,30,138,308,57
d139,286,0,286,80,201,1,18,21,18,183,165,67,49,40,208,236,19
d140,318,318,0,132,181,4,4,28,38,174,165,56,49,84,186,214,26
d141,280,280,0,106,149,13,54,80,69,154,147,22,25,21,77,334,65
d142,294,294,0,118,152,9,68,105,77,154,139,22,20,39,92,300,86
d143,214,214,0,39,104,36,152,125,127,109,84,28,34,4,58,367,78
d144,279,279,0,113,133,13,86,83,100,154,131,16,20,35,88,305,76
d145,269,0,269,59,196,7,31,11,17,147,166,80,82,73,290,130,10
d146,253,253,0,88,116,19,134,96,101,133,137,25,19,21,93,328,69
d147,208,208,0,41,103,26,168,108,105,99,109,33,39,12,59,344,78
d148,322,0,322,106,212,0,18,12,14,185,179,70,88,52,208,254,34
d149,281,281,0,95,163,5,78,65,71,171,159,25,23,34,122,303,55
d150,279,279,0,92,165,6,71,62,65,173,162,23,26,40,122,297,52
d151,269,269,0,90,153,14,52,76,64,163,136,26,25,24,127,289,50
d152,289,0,289,79,204,2,16,16,11,185,164,65,68,30,223,231,25
d153,187,187,0,25,89,24,218,113,122,112,108,20,18,7,49,360,77
d154,287,287,0,102,178,5,8,26,32,156,162,59,46,51,220,197,13
d155,280,0,280,81,198,1,0,12,18,150,166,75,59,38,197,219,26
d156,261,0,261,74,180,2,22,8,12,166,153,76,47,48,240,158,16
d157,314,314,0,135,171,3,22,30,24,159,194,51,50,75,208,209,16
d158,257,257,0,102,125,9,94,96,83,128,129,22,15,24,65,314,70
d159,277,277,0,94,164,8,51,58,64,169,158,18,30,27,127,293,50
d160,290,290,0,109,166,3,55,69,53,177,159,23,24,41,113,301,50
d161,278,278,0,95,161,10,53,60,75,156,173,16,20,35,114,302,49
d162,265,0,265,66,179,12,37,15,5,156,164,72,85,58,270,159,10
d163,271,0,271,61,198,2,43,8,14,179,162,72,71,54,262,179,11
d164,281,281,0,121,125,12,104,87,75,156,145,25,23,30,90,320,71
d165,299,0,299,125,166,3,22,11,8,146,131,88,104,60,260,165,3
d166,314,0,314,145,165,0,18,7,8,115,101,122,140,45,171,247,30
d167,210,210,0,45,106,29,138,108,121,104,99,25,25,6,57,359,60
d168,314,314,0,130,157,11,68,76,68,173,171,26,31,31,126,338,50
d169,264,264,0,92,131,26,64,90,84,131,137,24,30,28,77,316,75
d170,274,0,274,60,206,3,21,14,12,172,141,69,94,69,257,168,8
d171,293,0,293,95,193,2,14,9,18,174,152,83,65,33,191,252,25
d172,273,273,0,102,167,1,13,24,27,153,148,46,54,63,194,177,18
d173,283,0,283,89,192,2,0,5,13,167,163,63,68,39,201,217,22
d174,277,277,0,98,153,13,57,73,63,152,171,21,20,41,103,309,47
d175,268,268,0,102,144,10,53,48,68,140,167,21,29,38,124,268,43
d176,259,259,0,85,149,3,98,66,71,147,162,22,22,26,125,296,43
d177,292,0,292,83,200,5,21,10,10,158,172,82,87,58,285,158,18
d178,275,0,275,54,210,6,22,7,11,175,164,74,83,61,292,146,15
d179,252,252,0,94,119,13,111,90,86,136,141,15,14,24,76,317,65
d180,306,0,306,120,183,1,10,8,9,105,124,118,135,33,191,248,27
d181,294,294,0,99,178,9,39,65,62,183,168,20,23,32,133,300,56
d182,289,0,289,76,203,9,6,13,14,148,179,86,75,72,261,171,11
d183,296,296,0,122,141,16,75,82,91,164,140,26,24,41,79,319,88
d184,308,0,308,116,174,10,37,8,7,118,150,136,112,75,285,171,0
d185,273,0,273,57,202,4,44,12,10,172,165,79,79,47,279,184,7
d186,320,320,0,144,172,1,13,29,32,169,166,42,66,76,225,188,15
d187,265,265,0,103,126,15,88,81,95,147,132,13,20,38,78,307,65
d188,277,277,0,97,164,6,44,65,62,155,164,17,24,37,132,266,52
d189,258,258,0,93,127,17,90,73,97,149,129,25,15,31,80,308,69
d190,291,291,0,96,177,8,43,73,70,186,151,23,14,32,129,313,43
d191,289,0,289,86,201,1,4,9,17,188,159,71,51,32,205,230,28
d192,271,271,0,119,110,15,120,90,75,156,139,19,25,31,96,319,58
d193,193,193,0,37,87,23,209,103,130,89,105,32,30,11,55,356,67
d194,280,0,280,85,182,5,37,9,15,146,174,75,82,55,277,164,5
d195,281,281,0,96,166,8,49,71,52,138,180,31,29,29,142,281,49
d196,327,0,327,135,188,2,8,13,11,127,115,122,137,34,196,260,35
d197,281,0,281,79,194,4,18,12,9,152,163,78,83,66,263,160,8
d198,268,0,268,60,195,6,33,10,7,174,159,78,73,58,265,168,10
d199,282,0,282,87,192,1,10,14,14,173,159,73,51,40,192,228,24
d200,322,0,322,137,182,2,4,5,16,112,118,132,128,39,189,248,35
d201,295,0,295,125,168,1,4,8,14,107,104,113,122,36,161,238,33
d202,190,190,0,31,93,29,168,107,108,104,105,34,14,10,49,347,66
d203,273,0,273,69,193,5,24,6,11,145,164,87,81,53,273,156,12
d204,270,0,270,67,192,4,32,10,14,155,159,68,89,57,265,164,9
d205,276,276,0,86,159,11,89,68,85,156,168,27,22,44,110,313,59
d206,287,0,287,63,210,6,34,18,10,166,171,88,82,59,298,165,13
d207,281,281,0,94,163,9,63,84,53,158,168,27,20,31,103,328,48
d208,267,267,0,112,115,14,115,85,116,146,123,17,12,30,81,321,67
d209,275,0,275,62,202,5,28,12,13,162,172,72,78,60,274,166,9
d210,299,0,299,130,163,3,14,11,9,108,117,118,116,37,169,244,29
d211,264,0,264,54,204,2,20,12,5,170,135,94,72,68,258,149,13
d212,299,299,0,130,163,3,14,25,25,144,172,64,49,74,192,199,14
d213,310,310,0,133,168,3,26,33,39,187,153,52,40,60,216,209,19
d214,267,267,0,82,158,13,68,66,70,161,158,20,30,34,97,305,69
d215,264,0,264,59,193,3,43,11,12,151,155,82,86,48,263,170,16
d216,251,251,0,92,140,6,59,71,54,148,132,20,24,38,111,246,54
d217,338,0,338,135,200,3,0,15,7,131,118,138,135,33,216,263,32
d218,297,0,297,78,217,2,0,19,18,190,155,60,76,38,197,258,25
d219,318,318,0,130,181,3,16,35,27,174,177,43,61,76,195,228,18
d220,297,0,297,82,211,2,9,19,5,188,162,74,71,38,221,229,31
d221,313,0,313,120,181,7,22,8,6,144,113,125,129,65,290,168,2
d222,278,0,278,72,190,7,37,16,15,168,154,71,86,51,281,167,11
d223,222,222,0,43,108,30,175,126,100,109,117,31,41,11,66,366,81
d224,253,253,0,93,127,17,71,93,93,115,137,13,18,28,63,313,65
d225,281,0,281,78,189,4,42,11,13,161,160,80,85,48,286,170,6
d226,270,270,0,86,158,6,92,72,63,165,165,23,24,37,130,278,67
d227,307,0,307,141,162,2,10,4,11,110,131,103,122,44,167,241,29
d228,273,0,273,65,197,7,18,6,8,172,154,73,85,65,251,171,11
d229,275,0,275,109,145,6,71,9,7,150,101,120,101,85,257,143,3
d230,276,0,276,69,201,1,25,13,12,157,162,80,75,61,274,154,10
d231,286,0,286,62,219,2,13,9,11,170,161,76,92,61,268,175,15
d232,273,0,273,68,193,4,35,6,13,144,171,92,75,47,295,157,2
d233,295,295,0,119,145,11,85,89,84,160,145,18,31,32,96,315,84
d234,273,0,273,69,191,5,36,7,11,174,164,67,79,67,258,168,9
d235,271,0,271,67,191,2,47,15,13,174,166,78,56,64,260,168,10
d236,271,271,0,97,152,6,72,63,65,139,168,29,27,27,117,296,51
d237,326,0,326,142,181,0,17,7,13,103,111,154,133,35,194,272,20
d238,275,0,275,67,197,3,35,12,10,176,158,63,86,53,276,169,7
d239,266,266,0,97,127,16,115,78,101,137,161,19,18,35,77,314,88
d240,271,0,271,65,197,3,28,16,8,141,176,78,77,47,270,165,14
d241,316,0,316,128,186,1,4,5,12,109,118,132,131,40,205,237,25
d242,326,326,0,149,172,0,22,33,23,163,173,67,56,64,217,220,14
d243,299,0,299,90,205,2,9,14,15,175,179,56,76,30,212,247,26
d244,285,0,285,62,212,3,34,11,17,170,180,81,70,54,289,170,16
d245,265,265,0,104,138,7,69,61,69,147,141,25,27,33,118,277,42
d246,189,189,0,35,82,28,210,120,124,95,107,21,26,6,54,365,68
d247,325,0,325,149,170,5,5,7,9,116,105,141,131,45,173,268,23
d248,266,266,0,92,160,4,49,45,54,167,173,17,17,40,116,270,47
d249,282,0,282,80,196,2,17,10,11,187,162,60,65,42,183,241,29
d250,298,298,0,110,165,9,59,68,58,166,184,27,23,42,126,309,49
d251,294,294,0,129,139,8,83,110,84,127,151,24,18,36,92,311,75
d252,251,0,251,61,179,7,18,14,9,170,122,76,67,59,250,141,8
d253,287,287,0,120,142,13,54,84,89,147,135,17,25,24,85,310,78
d254,284,0,284,87,190,2,23,19,8,185,163,62,59,41,181,243,31
d255,262,262,0,84,161,7,43,59,66,140,152,29,24,32,113,280,45
d256,274,274,0,97,157,7,53,64,59,164,155,22,21,28,109,300,48
d257,306,0,306,85,208,4,38,16,15,174,163,89,94,60,317,164,10
d258,259,0,259,60,189,3,31,16,8,137,155,85,77,50,272,150,6
d259,282,282,0,97,166,9,42,60,67,162,154,25,30,30,127,299,42
d260,258,0,258,61,184,3,45,8,9,147,151,88,80,63,256,154,10
d261,281,281,0,127,147,3,20,36,24,161,144,43,42,75,169,186,20
d262,257,0,257,47,201,4,22,6,6,154,162,75,80,48,262,163,10
d263,325,325,0,162,159,1,12,33,22,186,145,46,63,74,202,196,23
d264,302,0,302,123,173,1,21,6,4,117,116,121,129,37,188,235,33
d265,283,0,283,102,172,2,31,10,9,129,133,94,108,66,274,141,2
d266,330,0,330,156,174,0,0,11,9,111,106,141,126,45,189,241,29
d267,282,282,0,94,165,10,54,66,72,161,166,29,14,42,107,297,62
d268,303,0,303,113,184,1,21,12,9,125,133,103,123,61,275,168,1
d269,275,0,275,55,208,5,29,14,15,174,153,72,87,48,295,162,10
d270,277,277,0,98,159,7,58,65,71,163,152,21,23,31,111,300,53
d271,282,282,0,113,159,4,26,23,32,147,150,69,48,54,188,211,16
d272,314,0,314,137,174,1,9,11,8,106,110,122,140,44,191,236,26
d273,271,271,0,87,174,5,20,62,49,161,149,25,24,36,114,274,46
d274,283,283,0,97,151,18,77,108,97,143,141,19,22,29,83,332,86
d275,278,278,0,93,165,11,39,67,80,148,156,20,24,35,104,306,50
d276,294,294,0,92,184,9,43,82,74,157,161,25,31,33,119,326,52
d277,284,0,284,69,214,1,0,12,17,179,180,60,52,43,192,246,19
d278,279,279,0,100,155,13,48,61,66,149,164,26,31,32,115,299,51
d279,274,274,0,107,139,11,76,60,66,167,161,25,15,42,120,273,59
d280,258,0,258,51,198,1,35,10,11,164,164,67,69,50,276,146,13
d281,282,282,0,132,144,1,24,26,26,146,157,50,42,71,157,203,16
d282,317,0,317,135,179,2,4,8,8,116,120,121,130,33,215,231,24
d283,301,301,0,128,164,6,14,37,27,165,162,45,52,52,219,206,11
d284,246,0,246,58,169,4,65,8,14,153,158,75,65,62,243,153,15
d285,296,0,296,73,212,7,19,16,11,174,184,74,78,69,292,168,8
d286,289,289,0,113,152,7,78,60,67,191,158,14,26,38,134,295,49
d287,315,0,315,120,193,2,0,8,8,115,115,138,128,59,179,244,30
d288,193,193,0,39,92,23,172,109,105,101,96,25,28,14,55,335,60
d289,318,318,0,165,148,3,9,27,15,172,168,46,51,64,202,198,15
d290,209,209,0,39,105,29,156,128,108,109,90,29,28,5,59,347,81
d291,300,300,0,132,135,14,83,86,90,148,160,24,19,31,92,335,69
d292,270,270,0,110,133,11,70,85,77,141,137,16,23,28,66,310,75
d293,297,297,0,121,166,2,36,45,21,180,167,46,36,56,199,212,28
d294,263,0,263,78,182,0,14,11,8,148,169,63,57,37,193,204,22
d295,264,0,264,63,186,6,41,13,9,152,147,94,79,52,257,176,9
d296,254,254,0,86,133,15,90,58,80,156,149,22,22,42,112,274,59
d297,298,298,0,127,135,14,96,91,88,156,161,17,22,29,102,320,84
d298,323,323,0,155,164,2,8,19,28,182,175,40,53,65,194,216,22
d299,263,0,263,73,189,0,5,13,9,168,164,47,55,35,182,220,19
d300,261,0,261,63,186,3,41,14,8,155,146,84,78,49,266,157,13
d301,268,0,268,70,192,0,28,8,13,177,156,65,63,51,263,157,11
d302,305,305,0,134,164,6,4,24,25,162,172,49,52,60,214,196,14
d303,292,0,292,89,198,1,17,13,13,170,159,81,69,32,197,247,29
d304,212,212,0,46,99,20,215,116,131,109,108,27,28,8,54,374,83
d305,275,0,275,69,199,3,17,15,12,142,179,78,67,46,289,149,9
d306,225,225,0,50,101,30,193,122,127,110,124,30,22,5,58,386,86
d307,299,299,0,105,162,14,78,96,101,156,148,20,28,28,98,336,87
d308,284,0,284,67,211,3,13,18,13,163,162,73,82,59,267,174,11
d309,283,283,0,105,159,9,42,61,61,167,152,25,26,39,106,300,47
d310,257,257,0,93,141,8,64,82,67,138,143,20,13,26,97,297,43
d311,259,259,0,89,135,12,98,83,81,144,139,25,21,33,89,311,60
d312,313,0,313,135,171,3,18,7,14,115,117,119,132,36,192,248,28
d313,289,0,289,76,201,7,22,11,10,183,154,71,92,57,289,168,7
d314,284,284,0,110,169,3,9,32,28,167,154,44,41,67,192,186,21
d315,280,280,0,124,121,20,68,89,86,139,150,17,13,31,72,319,72
d316,293,293,0,117,154,11,49,77,66,141,170,32,21,33,125,297,52
d317,278,0,278,71,195,4,34,15,7,164,148,90,83,64,264,163,16
d318,317,0,317,130,181,2,16,9,10,107,120,121,147,39,190,254,31
d319,318,318,0,134,179,2,14,23,22,160,188,55,64,62,199,231,20
d320,275,0,275,63,198,7,31,7,19,153,187,77,68,70,271,163,7
d321,282,0,282,74,206,1,5,14,11,158,184,69,58,38,190,240,26
d322,266,0,266,65,189,4,33,10,10,144,157,90,77,49,274,154,11
d323,317,317,0,143,170,2,9,36,31,165,165,46,55,71,199,210,18
d324,203,203,0,35,106,29,150,113,118,93,106,26,28,9,53,345,77
d325,265,0,265,60,192,4,38,11,9,154,164,76,80,63,267,158,6
d326,283,0,283,79,191,7,27,11,11,169,154,76,88,62,286,150,11
d327,187,187,0,30,84,35,171,122,117,89,96,24,26,7,57,342,68
d328,292,292,0,117,157,6,53,66,62,174,156,19,25,36,119,293,54
d329,263,263,0,90,146,11,71,68,76,157,150,18,17,27,120,284,55
d330,259,259,0,111,119,9,91,75,77,143,143,16,13,30,76,284,77
d331,293,0,293,117,164,5,34,11,5,133,135,100,110,60,284,150,0
d332,197,197,0,35,91,27,197,117,136,99,89,27,27,5,55,350,85
d333,260,0,260,67,188,1,20,9,9,136,153,80,79,63,253,143,7
d334,296,296,0,106,163,12,66,78,71,180,155,30,20,43,123,308,60
d335,261,261,0,93,148,6,65,72,59,149,157,16,19,33,97,290,52
d336,283,0,283,62,213,6,8,11,8,165,174,94,62,42,289,171,12
d337,282,282,0,97,168,5,51,59,64,161,167,25,23,26,110,311,52
d338,278,278,0,113,124,18,103,111,102,144,129,14,18,29,82,335,72
d339,274,0,274,75,189,4,28,7,11,183,132,82,78,48,264,167,14
d340,276,0,276,63,205,3,24,11,16,162,175,68,74,61,262,169,14
d341,282,0,282,73,197,6,24,15,8,160,159,91,76,48,290,160,11
d342,268,0,268,63,191,5,43,9,15,169,165,86,59,65,264,155,19
d343,213,213,0,45,97,28,196,124,124,101,107,31,32,7,47,370,95
d344,284,0,284,97,176,3,39,3,11,138,124,100,121,56,289,149,3
d345,341,341,0,161,175,0,22,34,32,183,170,50,64,87,202,225,19
d346,289,0,289,67,208,3,49,8,10,186,168,93,76,57,325,154,5
d347,273,0,273,71,193,2,31,7,13,159,187,58,70,29,195,256,14
d348,284,0,284,72,207,1,20,8,8,175,165,75,78,64,274,169,2
d349,285,285,0,99,169,6,50,66,70,160,160,27,22,40,106,298,61
d350,273,0,273,67,191,6,41,13,10,159,151,82,93,54,272,174,8
d351,269,0,269,68,194,2,23,9,10,155,157,88,66,57,274,145,9
d352,276,276,0,102,151,13,43,49,78,156,168,12,23,33,108,299,46
d353,320,0,320,116,201,1,9,6,6,126,118,133,141,37,209,250,34
d354,271,0,271,71,195,2,13,6,11,157,187,59,60,34,178,250,18
d355,201,201,0,32,89,31,208,124,124,118,89,27,29,8,48,370,85
d356,267,267,0,100,149,8,47,48,67,155,163,20,16,34,97,281,57
d357,262,0,262,59,192,4,29,8,17,165,144,77,73,62,243,166,13
d358,258,0,258,65,191,1,5,15,15,156,156,55,58,23,171,237,24
d359,263,263,0,90,155,4,60,62,63,148,151,32,16,30,130,273,39
d360,272,272,0,101,138,8,110,91,99,140,134,27,20,26,88,304,93
d361,245,0,245,41,194,3,31,12,9,160,171,57,60,46,256,155,12
d362,247,0,247,56,178,5,36,10,7,159,146,73,68,50,264,143,6
d363,286,0,286,78,201,3,16,13,13,151,162,81,85,59,277,165,4
d364,314,314,0,139,169,2,20,33,30,174,164,50,52,73,189,229,12
d365,270,270,0,93,151,9,74,75,64,168,135,27,27,37,113,290,56
d366,277,277,0,114,123,19,101,95,92,140,158,13,20,22,80,334,82
d367,280,0,280,119,158,1,10,9,12,102,107,99,119,35,166,214,33
d368,317,0,317,136,177,2,8,8,17,113,112,120,134,50,194,229,31
d369,270,0,270,68,190,4,37,10,5,156,171,78,77,55,275,157,10
d370,283,283,0,87,180,7,42,61,66,147,187,25,24,49,114,301,46
d371,307,0,307,98,207,1,5,19,21,186,177,53,64,38,206,248,28
